School Year,Gender Description,School Code,School,School Type Description,Community Code,Community Description,Grade Description,Pediatric Category Description,Student Case Count,Student Enrollment Count,Prevalence,Lower CI,Upper CI,Statistical Significance,Stability,State Student Case Count,State Student Enrollment Count,State Prevalence,State Lower CI,State Upper CI,matched_name
2017-2018,Total,4610405,Excel Academy Chelsea,Charter,57,Chelsea,Total,Asthma,35,224.0,15.6,10.4,20.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Excel Academy Charter School
2017-2018,Total,6450005,Ezra H Baker Innovation School,Public,75,Dennis,Total,Asthma,9,325.0,2.8,1,4.6,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Ezra H Baker Innovation School
2017-2018,Total,2200015,F A Cleveland,Public,220,Norwood,Total,Asthma,60,328.0,18.3,13.7,22.9,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,F.A. Cleveland Elementary School
2017-2018,Total,2070315,F A Day Middle,Public,207,Newton,Total,Asthma,130,978.0,13.3,11,15.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,F.A. Day Middle School
2017-2018,Total,880030,F L Olmsted,Public,88,Easton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Fox Hill School
2017-2018,Total,610050,Fairview Elementary,Public,61,Chicopee,Total,Asthma,100,461.0,21.7,17.4,26,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fairview Elementary School
2017-2018,Total,2270815,Faith Baptist Christian Academy,Private,227,Palmer,Total,Asthma,0,9.0,0,0,71.1,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Lighthouse Baptist Christian Academy
2017-2018,Total,1070825,Faith Christian,Private,107,Gloucester,Total,Asthma,NS,26.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Faith Christian School
2017-2018,Total,200825,Faith Christian School,Private,20,Barnstable,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Faith Christian School
2017-2018,Total,1530007,Fall Brook,Public,153,Leominster,Total,Asthma,77,657.0,11.7,9.1,14.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fall Brook School
2017-2018,Total,950330,Fall River Alt,Public,95,Fall River,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Palmer River School
2017-2018,Total,2120010,Falls,Public,211,North Attleborough,Total,Asthma,25,275.0,9.1,5.5,12.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Falls School
2017-2018,Total,960805,Falmouth Academy,Private,96,Falmouth,Total,Asthma,NS,69.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Falmouth Academy
2017-2018,Total,410805,Family School,Private,20,Barnstable,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Family School
2017-2018,Total,2130015,Fannie E Proctor,Public,215,Northborough,Total,Asthma,15,249.0,6,3,9,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fannie E Proctor School
2017-2018,Total,6620020,Farmington River Elementary,Public,225,Otis,Total,Asthma,16,92.0,17.4,8.9,25.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Farmington River Elementary School
2017-2018,Total,350108,Farragut,Public,35,Boston,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Harrington School
2017-2018,Total,2760805,Fay,Private,277,Southborough,Total,Asthma,16,392.0,4.1,2.1,6.1,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fay School
2017-2018,Total,490840,Fayerweather Street,Private,49,Cambridge,Total,Asthma,9,178.0,5.1,1.8,8.4,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Fayerweather Street School
2017-2018,Total,1630525,Fecteau-Leary Junior/Senior High School,Public,163,Lynn,Total,Asthma,NS,21.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Fecteau-Leary Junior/Senior High School
2017-2018,Total,2390011,Federal Furnace School,Public,239,Plymouth,Total,Asthma,49,386.0,12.7,9.1,16.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Federal Furnace School
2017-2018,Total,1140010,Federal Street School,Public,114,Greenfield,Total,Asthma,33,247.0,13.4,8.8,18,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Federal Street School
2017-2018,Total,1810820,Fellowship Christian Acad,Private,181,Methuen,Total,Asthma,NS,87.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,MetroWest Christian Academy
2017-2018,Total,670850,Fenn,Private,67,Concord,Total,Asthma,48,305.0,15.7,11.3,20.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fenn School
2017-2018,Total,1650013,Ferryway,Public,165,Malden,Total,Asthma,84,875.0,9.6,7.5,11.7,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Ferryway School
2017-2018,Total,2070855,Fessenden School,Private,207,Newton,Total,Asthma,32,459.0,7,4.6,9.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fessenden School
2017-2018,Total,3300012,Field Elementary School,Public,333,Weston,Total,Asthma,39,325.0,12,8.2,15.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Field Elementary School
2017-2018,Total,3480810,First Assembly Chr Acad,Private,348,Worcester,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,East Gate Christian Academy
2017-2018,Total,3360815,First Baptist Christian,Private,336,Weymouth,Total,Asthma,8,120.0,6.7,2.1,11.3,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,First Baptist Christian School
2017-2018,Total,1370815,First Lutheran,Private,137,Holyoke,Total,Asthma,NS,89.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,First Lutheran School
2017-2018,Total,3070015,Fisher,Public,307,Walpole,Total,Asthma,15,454.0,3.3,1.6,5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fisher School
2017-2018,Total,2230015,Fisher Hill,Public,223,Orange,Total,Asthma,13,218.0,6,2.7,9.3,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fisher Hill School
2017-2018,Total,1550015,Fiske,Public,155,Lexington,Total,Asthma,22,502.0,4.4,2.6,6.2,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fiske School
2017-2018,Total,970325,Fitchburg Arts Academy,Public,97,Fitchburg,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Fletcher/Maynard Academy
2017-2018,Total,3480090,Flagg Street,Public,348,Worcester,Total,Asthma,34,409.0,8.3,5.5,11.1,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Flagg Street School
2017-2018,Total,490090,Fletcher/Maynard Academy,Public,49,Cambridge,Total,Asthma,38,235.0,16.2,11,21.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fletcher/Maynard Academy
2017-2018,Total,2710020,Floral Street School,Public,271,Shrewsbury,Total,Asthma,43,750.0,5.7,4,7.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Floral Street School
2017-2018,Total,6730010,Florence Roche School,Public,115,Groton,Total,Asthma,53,513.0,10.3,7.5,13.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Florence Roche School
2017-2018,Total,7250025,Florence Sawyer School,Public,34,Bolton,Total,Asthma,36,719.0,5,3.4,6.6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Florence Sawyer School
2017-2018,Total,1410015,Forest Avenue Elementary,Public,141,Hudson,Total,Asthma,43,354.0,12.1,8.5,15.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Forest Avenue Elementary School
2017-2018,Total,3480415,Forest Grove Middle,Public,348,Worcester,Total,Asthma,108,978.0,11,8.9,13.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Forest Grove Middle School
2017-2018,Total,2810325,Forest Park Middle,Public,281,Springfield,Total,Asthma,22,712.0,3.1,1.8,4.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Forest Park Middle School
2017-2018,Total,1650027,Forestdale,Public,165,Malden,Total,Asthma,45,547.0,8.2,5.8,10.6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Forestdale School
2017-2018,Total,2610010,Forestdale,Public,261,Sandwich,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Forestdale School
2017-2018,Total,2610002,Forestdale School,Public,261,Sandwich,Total,Asthma,49,566.0,8.7,6.3,11.1,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Forestdale School
2017-2018,Total,3250003,Fort Meadow Early Childhood Center,Public,329,Westfield,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Fort Meadow Early Childhood Center
2017-2018,Total,80020,Fort River Elementary,Public,8,Amherst,Total,Asthma,42,335.0,12.5,8.7,16.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fort River Elementary School
2017-2018,Total,4130505,Four Rivers Charter Public School,Charter,114,Greenfield,Total,Asthma,15,72.0,20.8,10.3,31.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Four Rivers Charter Public School
2017-2018,Total,1060830,Four Winds School,Private,106,Gill,Total,Asthma,NS,5.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Four Winds School
2017-2018,Total,950060,Fowler Elementary School,Public,95,Fall River,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Oliver Elementary School
2017-2018,Total,1740305,Fowler School,Public,174,Maynard,Total,Asthma,85,522.0,16.3,12.8,19.8,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fowler School
2017-2018,Total,480007,Fox Hill,Public,48,Burlington,Total,Asthma,37,399.0,9.3,6.3,12.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fox Hill School
2017-2018,Total,4460550,Foxborough Regional Charter School,Charter,99,Foxborough,Total,Asthma,139,1189.0,11.7,9.8,13.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Foxborough Regional Charter School
2017-2018,Total,1530010,Frances Drake School,Public,153,Leominster,Total,Asthma,64,544.0,11.8,8.9,14.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frances Drake School
2017-2018,Total,1770010,Francis J Burke Elementary,Public,177,Medway,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Francis T Bresnahan Elementary School
2017-2018,Total,1700008,Francis J Kane,Public,170,Marlborough,Total,Asthma,80,618.0,12.9,10.1,15.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Francis J Kane School
2017-2018,Total,3480177,Francis J McGrath Elementary,Public,348,Worcester,Total,Asthma,18,237.0,7.6,4.1,11.1,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Francis J McGrath Elementary School
2017-2018,Total,1490040,Francis M Leahy,Public,149,Lawrence,Total,Asthma,64,518.0,12.4,9.4,15.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Francis M. Leahy School
2017-2018,Total,2040005,Francis T Bresnahan Elementary,Public,206,Newburyport,Total,Asthma,39,534.0,7.3,5,9.6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Francis T Bresnahan Elementary School
2017-2018,Total,2430075,Francis W Parker,Public,243,Quincy,Total,Asthma,15,313.0,4.8,2.4,7.2,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Francis W Parker School
2017-2018,Total,4780505,Francis W. Parker Charter Essential School,Charter,19,Ayer,Total,Asthma,12,142.0,8.5,3.7,13.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Francis W. Parker Charter Essential
2017-2018,Total,480035,Francis Wyman Elementary,Public,48,Burlington,Total,Asthma,71,539.0,13.2,10.1,16.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Francis Wyman Elementary School
2017-2018,Total,1600810,Franco American Elem,Private,160,Lowell,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Hellenic American Academy
2017-2018,Total,2810075,Frank H Freedman,Public,281,Springfield,Total,Asthma,66,352.0,18.8,14.3,23.3,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frank H Freedman School
2017-2018,Total,570040,Frank M Sokolowski Elementary,Public,57,Chelsea,Total,Asthma,73,568.0,12.9,9.9,15.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frank M Sokolowski Elementary School
2017-2018,Total,950005,Frank M. Silvia Elementary,Public,95,Fall River,Total,Asthma,129,718.0,18,14.9,21.1,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frank M Sokolowski Elementary School
2017-2018,Total,440030,Franklin,Public,44,Brockton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Franklin School
2017-2018,Total,2070055,Franklin,Public,207,Newton,Total,Asthma,50,434.0,11.5,8.3,14.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Franklin School
2017-2018,Total,2110010,Franklin,Public,210,North Andover,Total,Asthma,50,452.0,11.1,8,14.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Franklin School
2017-2018,Total,3250015,Franklin Ave,Public,329,Westfield,Total,Asthma,25,248.0,10.1,6.1,14.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Franklin Ave School
2017-2018,Total,350116,Franklin D Roosevelt,Public,35,Boston,Total,Asthma,91,409.0,22.2,17.6,26.8,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Franklin School
2017-2018,Total,3360050,Frederick C Murphy,Public,336,Weymouth,Total,Asthma,15,246.0,6.1,3,9.2,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frederick C Murphy School
2017-2018,Total,440080,Frederick Douglass Academy,Public,44,Brockton,Total,Asthma,NS,6.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Fredrick Douglass Collegiate Academy
2017-2018,Total,2810080,Frederick Harris,Public,281,Springfield,Total,Asthma,85,584.0,14.6,11.5,17.7,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frederick Harris School
2017-2018,Total,310007,Frederick J Dutile,Public,31,Billerica,Total,Asthma,15,273.0,5.5,2.7,8.3,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frederick J Dutile School
2017-2018,Total,6220405,Frederick W. Hartnett Middle School,Public,32,Blackstone,Total,Asthma,66,426.0,15.5,11.8,19.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frederick W. Hartnett Middle School
2017-2018,Total,2080005,Freeman-Kennedy School,Public,208,Norfolk,Total,Asthma,50,489.0,10.2,7.4,13,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Freeman-Kennedy School
2017-2018,Total,1020005,Freetown Elementary,Public,102,Freetown,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Freetown Elementary School
2017-2018,Total,6650001,Freetown Elementary School,Public,102,Freetown,Total,Asthma,23,364.0,6.3,3.7,8.9,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Freetown Elementary School
2017-2018,Total,6650305,Freetown-Lakeville Middle School,Public,146,Lakeville,Total,Asthma,46,752.0,6.1,4.3,7.9,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Freetown-Lakeville Middle School
2017-2018,Total,720810,Friends Academy,Private,72,Dartmouth,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Friends Academy
2017-2018,Total,1570810,Frontier Academy,Private,157,Lincoln,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Fontbonne Academy
2017-2018,Total,6700505,Frontier Regional,Public,74,Deerfield,Total,Asthma,24,221.0,10.9,6.5,15.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frontier Regional School
2017-2018,Total,1490525,Frost Middle School,Public,149,Lawrence,Total,Asthma,93,507.0,18.3,14.6,22,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Frost Middle School
2017-2018,Total,290805,Full Circle,Private,29,Bernardston,Total,Asthma,0,23.0,0,0,27.8,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Full Circle School
2017-2018,Total,1840003,Fuller Meadow,Public,184,Middleton,Total,Asthma,8,228.0,3.5,1.1,5.9,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Fuller Meadow School
2017-2018,Total,1000305,Fuller Middle,Public,100,Framingham,Total,Asthma,59,501.0,11.8,8.8,14.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Fuller Middle School
2017-2018,Total,1710310,Furnace Brook Middle,Public,171,Marshfield,Total,Asthma,119,970.0,12.3,10.1,14.5,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Furnace Brook Middle School
2017-2018,Total,3050310,Galvin Middle School,Public,305,Wakefield,Total,Asthma,116,1044.0,11.1,9.1,13.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Galvin Middle School
2017-2018,Total,460805,Gan Torah Acad,Private,46,Brookline,Total,Asthma,7,234.0,3,.8,5.2,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Torah Academy Inc.
2017-2018,Total,2920015,Gardner,Public,292,Swansea,Total,Asthma,34,261.0,13,8.6,17.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gardner School
2017-2018,Total,1030505,Gardner High,Public,103,Gardner,Total,Asthma,29,163.0,17.8,11.3,24.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gardner High School
2017-2018,Total,1030405,Gardner Middle School,Public,103,Gardner,Total,Asthma,112,543.0,20.6,16.8,24.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gardner Middle School
2017-2018,Total,350326,Gardner Pilot Academy,Public,35,Boston,Total,Asthma,66,366.0,18,13.7,22.3,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gardner Pilot Academy
2017-2018,Total,2480056,Garfield Elementary School,Public,248,Revere,Total,Asthma,69,705.0,9.8,7.5,12.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Garfield Elementary School
2017-2018,Total,2480057,Garfield Middle School,Public,248,Revere,Total,Asthma,60,538.0,11.2,8.4,14,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Garfield Middle School
2017-2018,Total,350736,Gate Of Heaven Elementary,Private,35,Boston,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,A.C. Whelan Elementary School
2017-2018,Total,20025,Gates,Public,2,Acton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,TIES
2017-2018,Total,3480110,Gates Lane,Public,348,Worcester,Total,Asthma,76,501.0,15.2,11.8,18.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gates Lane School
2017-2018,Total,2640305,Gates Middle School,Public,264,Scituate,Total,Asthma,34,721.0,4.7,3.1,6.3,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gates Middle School
2017-2018,Total,6720380,Gateway Reg Middle,Public,143,Huntington,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Gateway Regional Middle School
2017-2018,Total,6720405,Gateway Regional Middle School,Public,143,Huntington,Total,Asthma,10,198.0,5.1,1.9,8.3,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Gateway Regional Middle School
2017-2018,Total,6720410,Gateway Regional Middle School,Public,143,Huntington,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Gateway Regional Middle School
2017-2018,Total,610090,Gen John J Stefanik,Public,61,Chicopee,Total,Asthma,114,403.0,28.3,23.1,33.5,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gen. John J Stefanik School
2017-2018,Total,2880025,General John Nixon Elementary,Public,288,Sudbury,Total,Asthma,39,340.0,11.5,7.9,15.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,General John Nixon Elementary School
2017-2018,Total,570035,George F. Kelly Elementary,Public,57,Chelsea,Total,Asthma,63,547.0,11.5,8.7,14.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,George F. Kelly Elementary School
2017-2018,Total,2200075,George F. Willett,Public,220,Norwood,Total,Asthma,26,280.0,9.3,5.7,12.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,George F. Willett School
2017-2018,Total,350122,George H Conley,Public,35,Boston,Total,Asthma,50,191.0,26.2,18.9,33.5,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Georgetown High School
2017-2018,Total,2010060,George H Dunbar,Public,201,New Bedford,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,George R Martin School
2017-2018,Total,720030,George H Potter,Public,72,Dartmouth,Total,Asthma,82,418.0,19.6,15.4,23.8,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,George H Potter School
2017-2018,Total,790045,George H. Englesby Elementary School,Public,79,Dracut,Total,Asthma,115,515.0,22.3,18.2,26.4,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,George H. Englesby Elementary School
2017-2018,Total,790040,George H. Englesby Intermediate,Public,79,Dracut,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,George R Austin Intermediate School
2017-2018,Total,930028,George Keverian School,Public,93,Everett,Total,Asthma,94,862.0,10.9,8.7,13.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,George Keverian School
2017-2018,Total,6650015,George R Austin Intermediate School,Public,146,Lakeville,Total,Asthma,46,440.0,10.5,7.5,13.5,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,George R Austin Intermediate School
2017-2018,Total,2650007,George R Martin,Public,265,Seekonk,Total,Asthma,54,459.0,11.8,8.7,14.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,George R Martin School
2017-2018,Total,1460010,George R. Austin Intermediate School,Public,146,Lakeville,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,George R Austin Intermediate School
2017-2018,Total,2040010,George W Brown,Public,206,Newburyport,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,George R Martin School
2017-2018,Total,1050305,Georgetown Middle School,Public,105,Georgetown,Total,Asthma,NS,230.0,NS,NS,NS,NS,        ,79838,675052,11.82694074,11.74490111,11.90898036,Georgetown Middle School
2017-2018,Total,1050505,Georgetown Middle/High,Public,105,Georgetown,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Georgetown Middle School
2017-2018,Total,1490022,Gerard A. Guilmette,Public,149,Lawrence,Total,Asthma,80,514.0,15.6,12.2,19,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gerard A. Guilmette School
2017-2018,Total,2810195,German Gerena Community School,Public,281,Springfield,Total,Asthma,159,595.0,26.7,22.5,30.9,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,German Gerena Community School
2017-2018,Total,490855,German International School Boston,Private,35,Boston,Total,Asthma,7,180.0,3.9,1,6.8,Statistically significantly lower,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,German International School Boston
2017-2018,Total,6740005,Gill Elementary,Public,106,Gill,Total,Asthma,10,134.0,7.5,2.9,12.1,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Gill Elementary School
2017-2018,Total,440425,Gilmore Academy,Public,44,Brockton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Kiley Academy
2017-2018,Total,440055,Gilmore Elementary School,Public,44,Brockton,Total,Asthma,79,558.0,14.2,11.1,17.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Gilmore Elementary School
2017-2018,Total,440050,Gilmore School Early Childhood Center,Public,44,Brockton,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Lawlor Early Childhood Center
2017-2018,Total,300850,Glen Urquhart,Private,30,Beverly,Total,Asthma,12,181.0,6.6,2.9,10.3,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Glen Urquhart School
2017-2018,Total,1590017,Glenbrook Middle,Public,159,Longmeadow,Total,Asthma,38,342.0,11.1,7.6,14.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Glenbrook Middle School
2017-2018,Total,2810065,Glenwood,Public,281,Springfield,Total,Asthma,29,298.0,9.7,6.2,13.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Glenwood School
2017-2018,Total,7750060,Glenwood Elementary School,Public,257,Rutland,Total,Asthma,17,343.0,5,2.6,7.4,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Glenwood Elementary School
2017-2018,Total,2810068,Glickman Elementary,Public,281,Springfield,Total,Asthma,21,333.0,6.3,3.6,9,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Glickman Elementary School
2017-2018,Total,4960305,Global Learning Charter Public School,Charter,201,New Bedford,Total,Asthma,45,357.0,12.6,8.9,16.3,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Global Learning Charter Public School
2017-2018,Total,4480205,Gloucester Community Arts Charter School,Charter,107,Gloucester,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Holyoke Community Charter School
