SCHOOLS_PT_SCHID,SCHOOLS_PT_NAME,SCHOOLS_PT_ADDRESS,SCHOOLS_PT_TOWN_MAIL,SCHOOLS_PT_TOWN,SCHOOLS_PT_ZIPCODE,SCHOOLS_PT_PHONE,SCHOOLS_PT_GRADES,SCHOOLS_PT_TYPE,SCHOOLS_PT_TYPE_DESC,SCHOOLS_PT_DIST_NAME,SCHOOLS_PT_DIST_CODE,SCHOOLS_PT_MA_ADDR_ID,SCHOOLS_PT_TYPE_DESC2,updated_csv_csv_School_Year,updated_csv_csv_Gender_Description,updated_csv_csv_School_Code,updated_csv_csv_School,updated_csv_csv_School_Type_Description,updated_csv_csv_Community_Code,updated_csv_csv_Community_Description,updated_csv_csv_Grade_Description,updated_csv_csv_Pediatric_Category_Description,updated_csv_csv_Student_Case_Count,updated_csv_csv_Student_Enrollment_Count,updated_csv_csv_Prevalence,updated_csv_csv_Lower_CI,updated_csv_csv_Upper_CI,updated_csv_csv_Statistical_Significance,updated_csv_csv_Stability,updated_csv_csv_State_Student_Case_Count,updated_csv_csv_State_Student_Enrollment_Count,updated_csv_csv_State_Prevalence,updated_csv_csv_State_Lower_CI,updated_csv_csv_State_Upper_CI,updated_csv_csv_matched_name,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAR_FID,NEAREST_OPENSPACE,NEAR_FID_ROAD,NEAREST_ROAD
03050310,Galvin Middle School,525 Main Street,Wakefield,WAKEFIELD,01880,781-246-6410,"05,06,07,08",MID,Public Middle,Wakefield,03050000,2866609, ,2017-2018,Total,3050310,Galvin Middle School,Public,305,Wakefield,Total,Asthma,116,1044.000000000000000,11.1,9.1,13.1,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Galvin Middle School,42.8741684,0.0699671,15.5138922,23.4404068,1243,34.733557221065894,445688,30.443966532523987
02430035,Lincoln-Hancock Community School,300 Granite Street,Quincy,QUINCY,02169,617-984-8715,"K,01,02,03,04",ELE,Public Elementary,Quincy,02430000,4012316, ,2017-2018,Total,2430035,Lincoln-Hancock Community School,Public,243,Quincy,Total,Asthma,32,517.000000000000000,6.2,4.1,8.3,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Lincoln-Hancock Community School,63.2203941,0.0734751,16.0345688,23.3801155,763,50.925652196352182,486457,43.505394427010643
07550505,Ralph C Mahar Regional School,507 South Main Street,Orange,ORANGE,01364,978-544-2542,"07,08,09,10,11,12",SEC,Public Secondary,Ralph C Mahar,07550000,1068243, ,2017-2018,Total,7550505,Ralph C Mahar Regional,Public,223,Orange,Total,Asthma,42,245.000000000000000,17.1,11.9,22.3,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Ralph C Mahar Regional School,34.8132477,0.0746709,15.3041143,20.6770115,44454,73.893399720721916,379227,100.082939911719237
00300033,Hannah Elementary School,41R Brimbal Avenue,Beverly,BEVERLY,01915,978-921-6126,"K,01,02,03,04",ELE,Public Elementary,Beverly,00300000,24596, ,2017-2018,Total,300033,Hannah Elementary,Public,30,Beverly,Total,Asthma,21,391.000000000000000,5.4,3.1,7.7,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Hannah Elementary School,37.0193024,0.0705397,13.4347801,23.5071068,35675,230.727413758238271,180778,55.033482872979860
00570045,Eugene Wright Science and Technology Academy,180 Walnut Street,Chelsea,CHELSEA,02150,617-466-5240,"05,06,07,08",MID,Public Middle,Chelsea,00570000,3688851, ,2017-2018,Total,570045,Eugene Wright Science and Technology Academy,Public,57,Chelsea,Total,Asthma,36,535.000000000000000,6.7,4.5,8.9,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Eugene Wright Science and Technology Academy,50.5199203,0.0714483,15.5446186,23.5474319,12540,35.558492758706898,213230,33.265103739409092
00710015,Great Oak School,76 Pickering Street,Danvers,DANVERS,01923,978-774-2533,"K,01,02,03,04,05",ELE,Public Elementary,Danvers,00710000,3080888, ,2017-2018,Total,710015,Great Oak,Public,71,Danvers,Total,Asthma,34,379.000000000000000,9,6,12,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Great Oak School,37.5910301,0.0701135,14.0549736,23.4887581,26936,24.783016900110191,174009,93.483765179845491
06980010,Manchester Memorial Elementary School,43 Lincoln Street,Manchester,MANCHESTER,01944,978-526-1908,"PK,K,01,02,03,04,05",ELE,Public Elementary,Manchester Essex,06980000,3050586, ,2017-2018,Total,1510005,Leicester Memorial Elementary,Public,151,Leicester,Total,Asthma,40,333.000000000000000,12,8.3,15.7,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Manchester Memorial Elementary School,36.2981682,0.0708307,12.8326597,23.4876041,1407,117.608438871179573,179945,112.912603872908662
01600027,Moody Elementary School,158 Rogers Street,Lowell,LOWELL,01852,978-937-7673,"PK,K,01,02,03,04",ELE,Public Elementary,Lowell,01600000,1995255, ,2017-2018,Total,1600027,Moody Elementary,Public,160,Lowell,Total,Asthma,23,216.000000000000000,10.6,6.3,14.9,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Moody Elementary School,35.4777679,0.0660362,15.1099024,22.9101963,42531,58.203187817832756,132598,31.134168129996535
03270005,Westhampton Elementary School,37 Kings Highway,Westhampton,WESTHAMPTON,01027,413-527-0561,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,Westhampton,03270000,966419, ,2017-2018,Total,3270005,Westhampton Elementary School,Public,331,Westhampton,Total,Asthma,16,107.000000000000000,15,7.7,22.4,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Westhampton Elementary School,42.6880341,0.0698248,23.0342236,21.8068676,26089,20.030610540969796,369333,37.905873449190658
02810325,Forest Park Middle School,46 Oakland Street,Springfield,SPRINGFIELD,01108,413-787-7420,"06,07,08",MID,Public Middle,Springfield,02810000,4174350, ,2017-2018,Total,2810325,Forest Park Middle,Public,281,Springfield,Total,Asthma,22,712.000000000000000,3.1,1.8,4.4,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Forest Park Middle School,44.1144638,0.0725897,16.1073761,20.9063644,26051,134.649308325504933,39765,47.484566611378682
02770005,Charlton Street School,220 Charlton Street,Southbridge,SOUTHBRIDGE,01550,508-764-5475,"PK,K,01,02,03,04,05",ELE,Public Elementary,Southbridge,02770000,1039372, ,2017-2018,Total,2770005,Charlton Street,Public,278,Southbridge,Total,Asthma,87,310.000000000000000,28.1,22.2,34,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Charlton Street School,44.1654739,0.0740576,15.4090214,19.6267986,958,25.480145847724550,399742,45.309034945551780
02930010,East Taunton Elementary School,58R Stevens Street,East Taunton,TAUNTON,02718,508-821-1330,"PK,K,01,02,03,04",ELE,Public Elementary,Taunton,02930000,2674706, ,2017-2018,Total,2930010,East Taunton Elementary,Public,293,Taunton,Total,Asthma,71,618.000000000000000,11.5,8.8,14.2,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,East Taunton Elementary School,79.3451233,0.0770157,13.3760443,24.8154163,36982,882.550564718111787,513031,34.975274097480764
00910030,Erving Elementary School,28 Northfield Road,Erving,ERVING,01344,413-423-3326,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,Erving,00910000,928249, ,2017-2018,Total,910030,Erving Elementary,Public,91,Erving,Total,Asthma,16,112.000000000000000,14.3,7.3,21.3,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Erving Elementary School,34.8074417,0.0722418,15.2709560,21.6202888,29041,61.923842878233089,356116,40.919305851926403
00490020,Haggerty School,110 Cushing Street,Cambridge,CAMBRIDGE,02138,617-349-6555,"PK,K,01,02,03,04,05",ELE,Public Elementary,Cambridge,00490000,3629883, ,2017-2018,Total,490020,Haggerty,Public,49,Cambridge,Total,Asthma,28,230.000000000000000,12.2,7.7,16.7,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Haggerty School,52.4507179,0.0710497,17.8627338,23.5220814,32723,18.809079749825877,120734,34.748221940848190
02810023,Milton Bradley School,22 Mulberry Street,Springfield,SPRINGFIELD,01105,413-787-7475,"PK,K,01,02,03,04,05",ELE,Public Elementary,Springfield,02810000,574775, ,2017-2018,Total,2810023,Milton Bradley School,Public,281,Springfield,Total,Asthma,25,494.000000000000000,5.1,3.1,7.1,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Milton Bradley School,44.1282043,0.0719547,16.0896301,21.1789074,3494,248.308935223467643,45705,65.178477571249360
00950045,John J Doran School,101 Fountain Street,Fall River,FALL RIVER,02721,508-675-8225,"PK,K,01,02,03,04,05,06,07,08",ELE,Public Elementary,Fall River,00950000,3935714, ,2017-2018,Total,950045,John J Doran,Public,95,Fall River,Total,Asthma,127,501.000000000000000,25.3,20.9,29.7,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,John J Doran School,81.8302612,0.0770815,13.2816019,24.4441223,674,22.078854581673738,270946,15.777210284743138
06500305,Dighton Middle School,1250R Somerset Avenue,Dighton,DIGHTON,02715,508-669-4200,"05,06,07,08",MID,Public Middle,Dighton-Rehoboth,06500000,4164748, ,2017-2018,Total,6500305,Dighton Middle School,Public,76,Dighton,Total,Asthma,24,392.000000000000000,6.1,3.7,8.5,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Dighton Middle School,79.0865936,0.0768533,13.4402752,24.8351936,27360,0.000000000000000,501178,26.738056441336301
00970043,Reingold Elementary School,70 Reingold Avenue,Fitchburg,FITCHBURG,01420,978-345-3287,"01,02,03,04,05",ELE,Public Elementary,Fitchburg,00970000,1353288, ,2017-2018,Total,970043,Reingold Elementary,Public,97,Fitchburg,Total,Asthma,105,632.000000000000000,16.6,13.4,19.8,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Reingold Elementary School,33.1665115,0.0698930,14.7550850,20.5535221,34250,265.159838520431322,393787,33.522099696760456
00480035,Francis Wyman Elementary School,41 Terrace Hall Avenue,Burlington,BURLINGTON,01803,781-270-1701,"K,01,02,03,04,05",ELE,Public Elementary,Burlington,00480000,2423720, ,2017-2018,Total,480035,Francis Wyman Elementary,Public,48,Burlington,Total,Asthma,71,539.000000000000000,13.2,10.1,16.3,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Francis Wyman Elementary School,43.3540688,0.0688252,16.3161144,23.3519535,45820,126.923178423641758,126614,83.104890914673419
02910010,Hadley School,24 Redington Street,Swampscott,SWAMPSCOTT,01907,781-596-8847,"K,01,02,03,04",ELE,Public Elementary,Swampscott,02910000,3762074, ,2017-2018,Total,2910010,Hadley,Public,291,Swampscott,Total,Asthma,11,286.000000000000000,3.8,1.6,6,Statistically significantly lower,Unstable,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Hadley School,43.5175743,0.0714749,14.2820492,23.5816345,11081,20.237007334093843,164977,33.206244750042217
01650027,Forestdale School,74 Sylvan Street,Malden,MALDEN,02148,781-397-7326,"K,01,02,03,04,05,06,07,08",ELE,Public Elementary,Malden,01650000,3021844, ,2017-2018,Total,1650027,Forestdale,Public,165,Malden,Total,Asthma,45,547.000000000000000,8.2,5.8,10.6,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Forestdale School,47.1105576,0.0708777,15.8183022,23.5024796,43609,39.969834675201625,135103,43.427765951510310
00200010,Centerville Elementary School,658 Bay Lane,Centerville,BARNSTABLE,02632,508-790-9890,"K,01,02,03",ELE,Public Elementary,Barnstable,00200000,1231573, ,2017-2018,Total,200010,Centerville Elementary,Public,20,Barnstable,Total,Asthma,9,259.000000000000000,3.5,1.2,5.8,Statistically significantly lower,Unstable,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Centerville Elementary School,,0.0810233,13.3000002,22.4151688,52075,9.144957332325625,549947,49.182208876602601
02430110,Wollaston School,205 Beale Street,Quincy,QUINCY,02170,617-984-8791,"K,01,02,03,04,05",ELE,Public Elementary,Quincy,02430000,4031758, ,2017-2018,Total,2430110,Wollaston School,Public,243,Quincy,Total,Asthma,22,333.000000000000000,6.6,3.8,9.4,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Wollaston School,61.6802559,0.0731720,16.3029022,23.4193192,11171,13.098287382003729,243668,40.344593832320953
03070010,Boyden School,1852 Washington Street,Walpole,WALPOLE,02081,508-660-7216,"K,01,02,03,04,05",ELE,Public Elementary,Walpole,03070000,2708114, ,2017-2018,Total,3070010,Boyden,Public,307,Walpole,Total,Asthma,47,356.000000000000000,13.2,9.4,17,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Boyden School,69.3365479,0.0741202,15.7124996,23.6385422,42211,0.000000000000000,490042,63.185692437861178
01630040,Wm. P. Connery Elementary School,50 Elm Street,Lynn,LYNN,01905,781-477-7344,"PK,K,01,02,03,04,05",ELE,Public Elementary,Lynn,01630000,3794120, ,2017-2018,Total,1630040,Wm P Connery,Public,163,Lynn,Total,Asthma,69,612.000000000000000,11.3,8.6,14,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Wm. P. Connery Elementary School,44.2322235,0.0714535,14.6897268,23.5710163,11044,32.427413634148479,185478,43.985632775519278
01630070,Lincoln-Thomson School,115 Gardiner Street,Lynn,LYNN,01905,781-477-7460,"K,01,02,03,04,05",ELE,Public Elementary,Lynn,01630000,3782248, ,2017-2018,Total,1630070,Lincoln-Thomson,Public,163,Lynn,Total,Asthma,31,240.000000000000000,12.9,8.4,17.4,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Lincoln-Thomson School,43.8037567,0.0713710,14.8299780,23.5577030,32921,394.175490472303920,177606,37.459362173986428
01220005,Center Elementary School,65 Silver Street,Hanover,HANOVER,02339,781-826-2631,"02,03,04",ELE,Public Elementary,Hanover,01220000,3439245, ,2017-2018,Total,1220005,Center Elementary,Public,122,Hanover,Total,Asthma,18,335.000000000000000,5.4,2.9,7.9,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Center Elementary School,67.3560410,0.0770902,13.2623701,24.2713242,42627,40.941356761279913,279788,89.975343755161433
01890803,Delphi Academy,564 Blue Hill Avenue,Milton,MILTON,02186,617-333-9610,"K,01,02,03,04,05,06,07,08",PRI,Private, , ,2788094, ,2017-2018,Total,1890803,Delphi Academy,Private,189,Milton,Total,Asthma,16,108.000000000000000,14.8,7.5,22.1,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Delphi Academy,64.6627426,0.0729589,17.2815170,23.3290863,47202,489.431498638130790,236944,36.724710826606831
06150020,Athol Community Elementary School,1064 Pleasant Street,Athol,ATHOL,01331,978-249-2406,"PK,K,01,02,03,04",ELE,Public Elementary,Athol-Royalston,06150000,4271856, ,2017-2018,Total,6150020,Athol Community Elementary School,Public,15,Athol,Total,Asthma,74,509.000000000000000,14.5,11.2,17.8,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Athol Community Elementary School,34.0669899,0.0735238,15.3479853,20.4535637,42433,164.611854318010074,81830,258.582697091780005
01780020,Lincoln School,80 West Wyoming Avenue,Melrose,MELROSE,02176,781-979-2250,"K,01,02,03,04,05",ELE,Public Elementary,Melrose,01780000,3057805, ,2017-2018,Total,1780020,Lincoln,Public,178,Melrose,Total,Asthma,23,421.000000000000000,5.5,3.3,7.7,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Lincoln School,46.2895088,0.0706052,15.9461679,23.4785671,44851,21.780455828301466,106843,70.092191984914763
02190020,William G Vinal School,102 Old Oaken Bucket Road,Norwell,NORWELL,02061,781-659-8820,"PK,K,01,02,03,04,05",ELE,Public Elementary,Norwell,02190000,3376702, ,2017-2018,Total,2190020,William G Vinal,Public,219,Norwell,Total,Asthma,47,496.000000000000000,9.5,6.8,12.2,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,William G Vinal School,63.2517395,0.0766207,13.2248554,24.0072231,26922,0.000000000000000,527898,21.364631964395809
01770305,Medway Middle School,45 Holliston Street,Medway,MEDWAY,02053,508-533-3230,"05,06,07,08",MID,Public Middle,Medway,01770000,1636642, ,2017-2018,Total,1770305,Medway Middle,Public,177,Medway,Total,Asthma,80,703.000000000000000,11.4,8.9,13.9,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Medway Middle School,63.3619080,0.0731621,16.0643711,23.1640320,31156,0.000000000000000,505876,55.871152122773999
02170305,North Reading Middle School,189 Park Street,North Reading,NORTH READING,01864,978-664-7806,"06,07,08",MID,Public Middle,North Reading,02170000,3094126, ,2017-2018,Total,2170305,North Reading Middle,Public,213,North Reading,Total,Asthma,74,548.000000000000000,13.5,10.4,16.6,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,North Reading Middle School,38.7822609,0.0689162,14.9447355,23.3895493,26954,422.845848876963544,460478,13.566348513036989
01710310,Furnace Brook Middle School,500 Furnace Street,Marshfield,MARSHFIELD,02050,781-834-5020,"06,07,08",MID,Public Middle,Marshfield,01710000,4169463, ,2017-2018,Total,1710310,Furnace Brook Middle,Public,171,Marshfield,Total,Asthma,119,970.000000000000000,12.3,10.1,14.5,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Furnace Brook Middle School,65.0493317,0.0790319,12.7654142,24.7107658,45252,91.598242458158225,517174,47.975639841667203
03320025,Memorial School,201 Norman Street,West Springfield,WEST SPRINGFIELD,01089,413-263-3333,"K,01,02,03,04,05",ELE,Public Elementary,West Springfield,03320000,896736, ,2017-2018,Total,480015,Memorial,Public,48,Burlington,Total,Asthma,43,407.000000000000000,10.6,7.4,13.8,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Memorial School,44.5502930,0.0713211,17.1013145,21.3619633,43893,41.477423084639760,32530,47.109302842806756
02810175,Alice B Beal Elementary School,285 Tiffany Street,Springfield,SPRINGFIELD,01108,413-787-7544,"PK,K,01,02,03,04,05",ELE,Public Elementary,Springfield,02810000,613425, ,2017-2018,Total,2810175,Alice B Beal Elementary,Public,281,Springfield,Total,Asthma,38,261.000000000000000,14.6,10,19.2,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Alice B Beal Elementary School,43.9755859,0.0733625,16.0015888,20.6594200,30017,19.491474217364853,40394,70.222711713828375
00240005,Cold Spring School,57 South Main Street,Belchertown,BELCHERTOWN,01007,413-323-0428,"PK,K",ELE,Public Elementary,Belchertown,00240000,923540, ,2017-2018,Total,240005,Cold Spring,Public,24,Belchertown,Total,Asthma,11,158.000000000000000,7,2.9,11.1,Statistically significantly lower,Unstable,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Cold Spring School,37.0681419,0.0738298,15.5519962,20.5628986,28703,0.000000000000000,377737,35.208596729826468
01530007,Fall Brook School,25 DeCicco Drive,Leominster,LEOMINSTER,01453,978-534-7745,"K,01,02,03,04,05",ELE,Public Elementary,Leominster,01530000,1591063, ,2017-2018,Total,1530007,Fall Brook,Public,153,Leominster,Total,Asthma,77,657.000000000000000,11.7,9.1,14.3,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Fall Brook School,36.1920013,0.0701930,15.1166992,21.3518810,24391,0.000000000000000,77062,104.629338088530332
02390012,Indian Brook School,1181 State Road,Plymouth,PLYMOUTH,02360,508-830-4370,"K,01,02,03,04,05",ELE,Public Elementary,Plymouth,02390000,2187539, ,2017-2018,Total,2390012,Indian Brook,Public,239,Plymouth,Total,Asthma,77,567.000000000000000,13.6,10.6,16.6,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Indian Brook School,70.6152115,0.0805260,12.3938999,24.8434391,42065,24.070982651664604,527975,34.117873010966555
00440405,East Middle School,464 Centre Street,Brockton,BROCKTON,02302,508-580-7351,"06,07,08",MID,Public Middle,Brockton,00440000,3270217, ,2017-2018,Total,400305,East Middle School,Public,40,Braintree,Total,Asthma,95,715.000000000000000,13.3,10.6,16,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,East Middle School,71.8377914,0.0762533,13.8985662,23.9996204,48219,33.129265997351148,521175,29.693399506008785
03360050,Frederick C Murphy School,417 Front Street,Weymouth,WEYMOUTH,02188,781-331-2862,"K,01,02,03,04,05",ELE,Public Elementary,Weymouth,03360000,3484589, ,2017-2018,Total,3360050,Frederick C Murphy,Public,336,Weymouth,Total,Asthma,15,246.000000000000000,6.1,3,9.2,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Frederick C Murphy School,65.2317352,0.0742949,15.0886269,23.4406548,36318,18.326993557097428,493885,26.274091618044821
01820011,Memorial Early Childhood Center,219 North Main Street,Middleboro,MIDDLEBOROUGH,02346,508-946-2032,"PK,K",ELE,Public Elementary,Middleborough,01820000,2625107, ,2017-2018,Total,1820011,Memorial Early Childhood Center,Public,182,Middleborough,Total,Asthma,20,232.000000000000000,8.6,4.8,12.4,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Memorial Early Childhood Center,76.6538315,0.0776103,12.9796047,24.8119373,47173,10.712584464737796,536318,55.359458743806186
01600315,James S Daley Middle School,150 Fleming Street,Lowell,LOWELL,01851,978-937-8981,"05,06,07,08",MID,Public Middle,Lowell,01600000,1995062, ,2017-2018,Total,350485,James P Timilty Middle,Public,35,Boston,Total,Asthma,75,331.000000000000000,22.7,17.6,27.8,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,James S Daley Middle School,35.9781990,0.0662026,15.2676401,22.9182854,23627,57.620514514794095,452587,73.426644761544310
01710015,Daniel Webster School,1456 Ocean Street,Marshfield,MARSHFIELD,02050,781-834-5045,"PK,K,01,02,03,04,05",ELE,Public Elementary,Marshfield,01710000,3830846, ,2017-2018,Total,1710015,Daniel Webster,Public,171,Marshfield,Total,Asthma,20,303.000000000000000,6.6,3.7,9.5,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Daniel Webster School,63.4520340,0.0795928,12.6172886,24.8344765,33755,36.289210499010480,514121,36.266812994411907
02660015,Heights Elementary School,454 South Main Street,Sharon,SHARON,02067,781-784-1595,"K,01,02,03,04,05",ELE,Public Elementary,Sharon,02660000,3198956, ,2017-2018,Total,2660015,Heights Elementary,Public,266,Sharon,Total,Asthma,48,525.000000000000000,9.1,6.5,11.7,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Heights Elementary School,70.5282745,0.0744840,15.4830580,23.6603165,104,12.780009738924775,490389,74.642507812960119
03080032,Douglas MacArthur Elementary School,494 Lincoln Street,Waltham,WALTHAM,02451,781-314-5721,"K,01,02,03,04,05",ELE,Public Elementary,Waltham,03080000,2838491, ,2017-2018,Total,3080032,Douglas MacArthur Elementary School,Public,308,Waltham,Total,Asthma,32,440.000000000000000,7.3,4.8,9.8,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Douglas MacArthur Elementary School,50.2755814,0.0701498,17.4649582,23.4504700,48168,15.395230697210344,450726,25.284026533205662
02120015,Roosevelt Avenue School,108 Roosevelt Avenue,North Attleborough,NORTH ATTLEBOROUGH,02760,508-643-2151,"K,01,02,03,04,05",ELE,Public Elementary,North Attleborough,02120000,80833, ,2017-2018,Total,2120015,Roosevelt Avenue,Public,212,North Brookfield,Total,Asthma,26,283.000000000000000,9.2,5.7,12.7,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Roosevelt Avenue School,72.1459503,0.0755039,14.5854130,24.2134247,27190,0.000000000000000,278480,49.148059226880136
07100015,Miscoe Hill School,148 North Avenue,Mendon,MENDON,01756,508-634-1590,"05,06,07,08",MID,Public Middle,Mendon-Upton,07100000,1659192, ,2017-2018,Total,7100015,Miscoe Hill School,Public,179,Mendon,Total,Asthma,69,778.000000000000000,8.9,6.8,11,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Miscoe Hill School,58.9532127,0.0729955,15.4900723,22.2877140,36945,21.038463605740272,60979,155.593685463711950
03420025,Shawsheen Elementary School,298 Shawsheen Avenue,Wilmington,WILMINGTON,01887,978-694-6030,"01,02,03",ELE,Public Elementary,Wilmington,03420000,2655610, ,2017-2018,Total,3420025,Shawsheen Elementary,Public,342,Wilmington,Total,Asthma,15,345.000000000000000,4.3,2.1,6.5,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Shawsheen Elementary School,39.5929222,0.0678680,15.6184492,23.2826920,25537,68.651110363473222,95075,40.168761315058930
00440045,Hancock School,125 Pearl Street,Brockton,BROCKTON,02301,508-580-7252,"PK,K,01,02,03,04,05",ELE,Public Elementary,Brockton,00440000,3282894, ,2017-2018,Total,440045,Hancock,Public,44,Brockton,Total,Asthma,70,659.000000000000000,10.6,8.1,13.1,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Hancock School,72.2640915,0.0757886,14.3037205,23.8539886,51098,97.683020321846442,514023,73.078897009319434
03480055,Clark Street Community School,280 Clark Street,Worcester,WORCESTER,01606,508-799-3545,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,Worcester,03480000,1377383, ,2017-2018,Total,3480055,Clark St Community,Public,348,Worcester,Total,Asthma,55,226.000000000000000,24.3,17.9,30.7,Statistically significantly higher,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Clark Street Community School,44.7982864,0.0716288,15.4019747,21.5216999,1001,17.767489774315216,84538,122.057275091978397
00990050,Charles Taylor Elementary School,196 South Street,Foxborough,FOXBOROUGH,02035,508-543-1607,"K,01,02,03,04",ELE,Public Elementary,Foxborough,00990000,2493798, ,2017-2018,Total,350054,Charles H Taylor,Public,35,Boston,Total,Asthma,31,506.000000000000000,6.1,4,8.2,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Charles Taylor Elementary School,71.4857788,0.0748196,14.9980907,23.7615051,32949,23.636013499298517,234343,129.547761674648370
01780017,Herbert Clark Hoover School,37 Glendower Road,Melrose,MELROSE,02176,781-979-2180,"K,01,02,03,04,05",ELE,Public Elementary,Melrose,01780000,4169714, ,2017-2018,Total,1780017,Herbert Clark Hoover,Public,178,Melrose,Total,Asthma,23,269.000000000000000,8.6,5.1,12.1,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Herbert Clark Hoover School,46.0678673,0.0708109,15.6269035,23.5006275,12232,30.999950487245890,126671,28.768445054881575
